BOLA,,,BOLAE,,,Dynamic,,,Dynamicdash,,,Throughput,,
time(s),bitrate(kbps),rebuffer_time(s),time(s),bitrate(kbps),rebuffer_time(s),time(s),bitrate(kbps),rebuffer_time(s),time(s),bitrate(kbps),rebuffer_time(s),time(s),bitrate(kbps),rebuffer_time(s)
0,2962,0,0,2962,0,0,2962,0,0,2962,0,0,2962,0
30,2056,0,30,2056,0,30,2056,0,30,2056,0,30,2056,0
60,991,0,60,991,0,60,991,0,60,991,0,60,991,0
90,2056,0,90,2056,0,90,2056,0,90,2056,0,90,2056,0
120,2962,0,120,2962,0,120,2962,0,120,2962,0,120,2962,0
150,2056,0,150,2056,0,150,2056,0,150,2056,0,150,2056,0
180,991,0,180,991,0,180,991,0,180,991,0,180,991,0
210,2056,0,210,2056,0,210,2056,0,210,2056,0,210,2056,0
240,2962,0,240,2962,0,240,2962,0,240,2962,0,240,2962,0
270,2056,0,270,2056,0,270,2056,0,270,2056,0,270,2056,0
300,991,0,300,991,0,300,991,0,300,991,0,300,991,0
330,2056,0,330,2056,0,330,2056,0,330,2056,0,330,2056,0
360,2962,0,360,2962,0,360,2962,0,360,2962,0,360,2962,0
390,2056,0,390,2056,0,390,2056,0,390,2056,0,390,2056,0
420,991,0,420,991,0,420,991,0,420,991,0,420,991,0
450,2056,0,450,2056,0,450,2056,0,450,2056,0,450,2056,0
480,2962,0,480,2962,0,480,2962,0,480,2962,0,480,2962,0
510,2056,0,510,2056,0,510,2056,0,510,2056,0,510,2056,0
540,991,0,540,991,0,540,991,0,540,991,0,540,991,0
570,2056,0,570,2056,0,570,2056,0,570,2056,0,570,2056,0
585.524,2056,0,583.878,2056,0,585.584,2056,0,585.456,2056,0,573.53,2056,0
