time,network_bandwidth,network_latency,quality,bitrate,download_size,download_time,buffer_level,rebuffer_time,is_bola
0,1255,98,0,230,0,0,0,0,False
804,1255,98,0,230,886360,804,3000,0,False
3102,1255,98,4,991,2760272,2297,3702,0,False
4987,1255,98,4,991,2243080,1885,4817,0,False
8088,1255,98,4,991,3768472,3100,4716,0,False
10269,1255,98,4,991,2614184,2181,5535,0,False
13282,1255,98,5,1427,3659008,3013,5521,0,False
15000,1255,98,4,991,2079086,1718,0,0,False
17744,1255,98,4,991,3320728,2743,3000,2743,False
20961,1255,98,4,991,3914304,3216,3000,216,False
22480,1255,98,3,688,1783880,1519,4480,0,False
24016,1255,98,3,688,1803944,1535,5945,0,False
26635,1255,98,4,991,3164568,2619,6325,0,False
29014,3775,202,4,991,2963000,2378,6947,0,False
29965,3775,202,4,991,2829328,951,8995,0,False
31378,3775,202,5,1427,4570208,1412,10583,0,False
33263,3775,202,6,2056,6351744,1884,11698,0,False
34981,3775,202,6,2056,5726000,1718,12979,0,False
37236,3775,202,7,2962,7749272,2254,13724,0,False
40000,3775,202,7,2962,9717894,2764,8000,0,False
42041,3775,202,6,2056,6942520,2041,8958,0,False
43588,3775,202,6,2056,5077256,1546,10411,0,False
46722,3775,202,7,2962,11069064,3134,10277,0,False
49324,3775,202,7,2962,9059696,2601,10675,0,False
51435,3775,202,7,2962,7206624,2111,11564,0,False
53689,3775,202,7,2962,7744672,2253,12311,0,False
56629,3775,202,7,2962,10336808,2940,12370,0,False
59266,2354,63,7,2962,8523464,2637,12733,0,False
63367,2354,63,7,2962,9503272,4100,11633,0,False
66475,2354,63,7,2962,7169384,3108,11524,0,False
70496,2354,63,7,2962,9316528,4020,10504,0,False
74255,2354,63,7,2962,8701352,3759,9744,0,False
77310,2354,63,6,2056,7043424,3055,9689,0,False
79728,2354,63,6,2056,5542176,2417,10272,0,False
83676,2354,63,7,2962,9146064,3948,9323,0,False
86085,2354,63,6,2056,5521280,2408,9915,0,False
89219,3157,58,6,2056,7571168,3134,9780,0,False
